run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
late_delta_L20@0,capitalization,capitalization,caps_002,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-46.99879932589829,-46.99879932589829,5.9790182784199715
late_delta_L20@0,capitalization,capitalization,caps_003,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-52.722063628723845,-52.722063628723845,3.2278099060058594
late_delta_L20@0,induction,induction,induction_001,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-57.35719043010613,-57.35719043010613,3.078784465789795
late_delta_L20@0,induction,induction,induction_002,layer_scale:layer:L20:late_delta_L20,0.0,B,A,0,-53.30742909712717,-51.969563744496554,-1.3378653526306152
late_delta_L20@0,induction,induction,induction_003,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-52.806013802066445,-52.806013802066445,4.360846519470215
late_delta_L20@0,induction,induction,induction_004,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-45.76531278375478,-45.76531278375478,12.93778944015503
late_delta_L20@0,coreference,coreference,coref_002,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-54.343945026397705,-54.343945026397705,9.041500091552734
late_delta_L20@0,coreference,coreference,coref_003,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-45.09043899178505,-45.09043899178505,11.51148796081543
late_delta_L20@0,coreference,coreference,coref_004,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-58.429055869579315,-58.429055869579315,5.359951019287109
all_heads_L20@0,capitalization,capitalization,caps_002,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-49.748600635211915,-49.748600635211915,5.0891769856680185
all_heads_L20@0,capitalization,capitalization,caps_003,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-55.11370485369116,-55.11370485369116,2.2108631134033203
all_heads_L20@0,induction,induction,induction_001,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-58.29883145677741,-58.29883145677741,5.190988540649414
all_heads_L20@0,induction,induction,induction_002,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-51.87967794225551,-51.87967794225551,2.626129150390625
all_heads_L20@0,induction,induction,induction_003,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-56.82591150914959,-56.82591150914959,4.993001937866211
