run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
all_heads_L20@0,capitalization,capitalization,caps_002,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-49.748600635211915,-49.748600635211915,5.0891769856680185
all_heads_L20@0,capitalization,capitalization,caps_003,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-55.11370485369116,-55.11370485369116,2.2108631134033203
all_heads_L20@0,induction,induction,induction_001,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-58.29883145677741,-58.29883145677741,5.190988540649414
all_heads_L20@0,induction,induction,induction_002,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-51.87967794225551,-51.87967794225551,2.626129150390625
all_heads_L20@0,induction,induction,induction_003,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-56.82591150914959,-56.82591150914959,4.993001937866211
all_heads_L20@0,induction,induction,induction_004,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-49.14146288775373,-49.14146288775373,14.377842426300049
all_heads_L20@0,coreference,coreference,coref_002,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-51.92176413536072,-51.92176413536072,10.032746315002441
all_heads_L20@0,coreference,coreference,coref_003,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-44.969939871225506,-44.969939871225506,11.088395118713379
all_heads_L20@0,coreference,coreference,coref_004,"head_mask:head:L20:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L20",0.0,A,A,1,-58.56891072914004,-58.56891072914004,5.476372718811035
all_experts_L20@0,capitalization,capitalization,caps_002,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-48.0146671673283,-48.0146671673283,5.837051227688789
all_experts_L20@0,capitalization,capitalization,caps_003,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-52.69335765019059,-52.69335765019059,2.686549425125122
all_experts_L20@0,induction,induction,induction_001,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-55.30110678100027,-55.30110678100027,3.940138339996338
all_experts_L20@0,induction,induction,induction_002,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,B,A,0,-53.523043466731906,-53.316596342250705,-0.20644712448120117
all_experts_L20@0,induction,induction,induction_003,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-51.06230070570018,-51.06230070570018,4.410860061645508
all_experts_L20@0,induction,induction,induction_004,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-48.349819357157685,-48.349819357157685,14.20271110534668
all_experts_L20@0,coreference,coreference,coref_002,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-51.69343453645706,-51.69343453645706,9.702309608459473
all_experts_L20@0,coreference,coreference,coref_003,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-44.56215678155422,-44.56215678155422,13.360595226287842
all_experts_L20@0,coreference,coreference,coref_004,"expert_mask:expert:L20:E0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31:all_experts_L20",0.0,A,A,1,-58.78047636151314,-58.78047636151314,6.049551963806152
all_heads_L22@0,capitalization,capitalization,caps_002,"head_mask:head:L22:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L22",0.0,A,A,1,-52.13614910887554,-52.13614910887554,4.425937827210873
all_heads_L22@0,capitalization,capitalization,caps_003,"head_mask:head:L22:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L22",0.0,A,A,1,-54.80208666683757,-54.80208666683757,1.6782584190368652
all_heads_L22@0,induction,induction,induction_001,"head_mask:head:L22:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L22",0.0,A,A,1,-58.4238767601928,-58.4238767601928,5.707730650901794
all_heads_L22@0,induction,induction,induction_002,"head_mask:head:L22:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L22",0.0,A,A,1,-51.14570735429879,-51.14570735429879,2.3880276679992676
all_heads_L22@0,induction,induction,induction_003,"head_mask:head:L22:H0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63:all_heads_L22",0.0,A,A,1,-55.798566576995654,-55.798566576995654,4.6610260009765625
