run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
late_delta_L18@0,capitalization,capitalization,caps_002,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-51.285550819913624,-51.285550819913624,4.074217959438101
late_delta_L18@0,capitalization,capitalization,caps_003,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-53.429872485852684,-53.429872485852684,2.095771551132202
late_delta_L18@0,induction,induction,induction_001,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-50.42786951456218,-50.42786951456218,5.017292261123657
late_delta_L18@0,induction,induction,induction_002,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-46.389256897207815,-46.389256897207815,6.264158725738525
late_delta_L18@0,induction,induction,induction_003,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-44.533254621579545,-44.533254621579545,5.829390525817871
late_delta_L18@0,induction,induction,induction_004,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-40.74875410896493,-40.74875410896493,16.07610535621643
late_delta_L18@0,coreference,coreference,coref_002,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-42.214597082231194,-42.214597082231194,8.814389705657959
late_delta_L18@0,coreference,coreference,coref_003,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-45.49391262142967,-45.49391262142967,11.847673892974854
late_delta_L18@0,coreference,coreference,coref_004,layer_scale:layer:L18:late_delta_L18,0.0,A,A,1,-52.732148225884885,-52.732148225884885,5.804283618927002
late_delta_L19@0,capitalization,capitalization,caps_002,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-50.95307058561593,-50.95307058561593,4.001431276090443
late_delta_L19@0,capitalization,capitalization,caps_003,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-52.04451272264123,-52.04451272264123,1.455583095550537
late_delta_L19@0,induction,induction,induction_001,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-57.64180663414297,-57.64180663414297,4.14669668674469
late_delta_L19@0,induction,induction,induction_002,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-51.2829696694389,-51.2829696694389,2.723698616027832
late_delta_L19@0,induction,induction,induction_003,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-53.88001159275848,-53.88001159275848,2.2756147384643555
late_delta_L19@0,induction,induction,induction_004,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-47.759780660271645,-47.759780660271645,12.699480533599854
late_delta_L19@0,coreference,coreference,coref_002,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-48.93392031491385,-48.93392031491385,9.081517219543457
late_delta_L19@0,coreference,coreference,coref_003,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-41.66829839348702,-41.66829839348702,12.454259872436523
late_delta_L19@0,coreference,coreference,coref_004,layer_scale:layer:L19:late_delta_L19,0.0,A,A,1,-51.632968671619885,-51.632968671619885,7.6198625564575195
late_delta_L20@0,capitalization,capitalization,caps_002,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-46.99879932589829,-46.99879932589829,5.9790182784199715
late_delta_L20@0,capitalization,capitalization,caps_003,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-52.722063628723845,-52.722063628723845,3.2278099060058594
late_delta_L20@0,induction,induction,induction_001,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-57.35719043010613,-57.35719043010613,3.078784465789795
late_delta_L20@0,induction,induction,induction_002,layer_scale:layer:L20:late_delta_L20,0.0,B,A,0,-53.30742909712717,-51.969563744496554,-1.3378653526306152
late_delta_L20@0,induction,induction,induction_003,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-52.806013802066445,-52.806013802066445,4.360846519470215
late_delta_L20@0,induction,induction,induction_004,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-45.76531278375478,-45.76531278375478,12.93778944015503
late_delta_L20@0,coreference,coreference,coref_002,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-54.343945026397705,-54.343945026397705,9.041500091552734
late_delta_L20@0,coreference,coreference,coref_003,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-45.09043899178505,-45.09043899178505,11.51148796081543
late_delta_L20@0,coreference,coreference,coref_004,layer_scale:layer:L20:late_delta_L20,0.0,A,A,1,-58.429055869579315,-58.429055869579315,5.359951019287109
late_delta_L21@0,capitalization,capitalization,caps_002,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-56.22571917064488,-56.22571917064488,2.8194846864789724
late_delta_L21@0,capitalization,capitalization,caps_003,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-56.267540875822306,-56.267540875822306,1.2303428649902344
late_delta_L21@0,induction,induction,induction_001,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-58.181370455771685,-58.181370455771685,5.56294572353363
late_delta_L21@0,induction,induction,induction_002,layer_scale:layer:L21:late_delta_L21,0.0,B,A,0,-54.49521323479712,-52.454957688227296,-2.040255546569824
late_delta_L21@0,induction,induction,induction_003,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-55.617487796465866,-55.617487796465866,4.091635704040527
late_delta_L21@0,induction,induction,induction_004,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-50.46749916509725,-50.46749916509725,9.888381004333496
late_delta_L21@0,coreference,coreference,coref_002,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-53.57000243663788,-53.57000243663788,7.44802188873291
late_delta_L21@0,coreference,coreference,coref_003,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-44.86547473818064,-44.86547473818064,9.525827407836914
late_delta_L21@0,coreference,coreference,coref_004,layer_scale:layer:L21:late_delta_L21,0.0,A,A,1,-57.77835587412119,-57.77835587412119,4.00876522064209
