run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
late_layer_L18@0,capitalization,capitalization,caps_002,layer_scale:layer:L18:late_layer_L18,0.0,A,A,1,-121.47271347045898,-121.47271347045898,15.612203598022461
late_layer_L18@0,capitalization,capitalization,caps_003,layer_scale:layer:L18:late_layer_L18,0.0,A,A,1,-110.86973762512207,-110.86973762512207,1.78125
late_layer_L18@0,induction,induction,induction_001,layer_scale:layer:L18:late_layer_L18,0.0,B,A,0,-128.36324882507324,-126.44137477874756,-1.9218740463256836
late_layer_L18@0,induction,induction,induction_002,layer_scale:layer:L18:late_layer_L18,0.0,A,A,1,-112.80723762512207,-112.80723762512207,2.87255859375
late_layer_L18@0,induction,induction,induction_003,layer_scale:layer:L18:late_layer_L18,0.0,A,A,1,-119.10666561126709,-119.10666561126709,1.96875
late_layer_L18@0,induction,induction,induction_004,layer_scale:layer:L18:late_layer_L18,0.0,B,A,0,-116.72130012512207,-114.67442512512207,-2.046875
late_layer_L18@0,coreference,coreference,coref_002,layer_scale:layer:L18:late_layer_L18,0.0,A,A,1,-116.26018142700195,-116.26018142700195,1.669921875
late_layer_L18@0,coreference,coreference,coref_003,layer_scale:layer:L18:late_layer_L18,0.0,A,A,1,-115.77947235107422,-115.77947235107422,1.609375
late_layer_L18@0,coreference,coreference,coref_004,layer_scale:layer:L18:late_layer_L18,0.0,B,A,0,-119.6032600402832,-117.1931037902832,-2.41015625
late_layer_L19@0,capitalization,capitalization,caps_002,layer_scale:layer:L19:late_layer_L19,0.0,A,A,1,-76.14015579223633,-76.14015579223633,16.077134132385254
late_layer_L19@0,capitalization,capitalization,caps_003,layer_scale:layer:L19:late_layer_L19,0.0,B,A,0,-71.65649223327637,-70.17992973327637,-1.4765625
late_layer_L19@0,induction,induction,induction_001,layer_scale:layer:L19:late_layer_L19,0.0,B,A,0,-83.11064147949219,-75.71220350265503,-7.398437976837158
late_layer_L19@0,induction,induction,induction_002,layer_scale:layer:L19:late_layer_L19,0.0,A,A,1,-71.68774223327637,-71.68774223327637,1.86328125
late_layer_L19@0,induction,induction,induction_003,layer_scale:layer:L19:late_layer_L19,0.0,B,A,0,-80.40623664855957,-76.19529962539673,-4.210937023162842
late_layer_L19@0,induction,induction,induction_004,layer_scale:layer:L19:late_layer_L19,0.0,A,A,1,-71.98071098327637,-71.98071098327637,2.59765625
late_layer_L19@0,coreference,coreference,coref_002,layer_scale:layer:L19:late_layer_L19,0.0,A,A,1,-68.59158134460449,-68.59158134460449,0.109375
late_layer_L19@0,coreference,coreference,coref_003,layer_scale:layer:L19:late_layer_L19,0.0,B,A,0,-68.82952785491943,-67.89202785491943,-0.9375
late_layer_L19@0,coreference,coreference,coref_004,layer_scale:layer:L19:late_layer_L19,0.0,B,A,0,-70.86093044281006,-70.76718044281006,-0.09375
late_layer_L20@0,capitalization,capitalization,caps_002,layer_scale:layer:L20:late_layer_L20,0.0,A,A,1,-72.28486347198486,-72.28486347198486,8.223835945129395
