run_name,task_name,behavior,case_id,intervention,scale,predicted_label,expected_label,correct,expected_logprob,best_logprob,margin
head_L20_H00@0,capitalization,capitalization,caps_002,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-53.80640783457784,-53.80640783457784,5.350433607061859
head_L20_H00@0,capitalization,capitalization,caps_003,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-56.797506435381365,-56.797506435381365,0.9786986112594604
head_L20_H00@0,induction,induction,induction_001,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-60.52566337481767,-60.52566337481767,4.690141558647156
head_L20_H00@0,induction,induction,induction_002,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-55.21837431500899,-55.21837431500899,2.3919777870178223
head_L20_H00@0,induction,induction,induction_003,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-59.4480211721384,-59.4480211721384,4.073304176330566
head_L20_H00@0,induction,induction,induction_004,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-53.79430828403565,-53.79430828403565,14.909438133239746
head_L20_H00@0,coreference,coreference,coref_002,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-53.321408153977245,-53.321408153977245,10.082664966583252
head_L20_H00@0,coreference,coreference,coref_003,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-48.54828788340092,-48.54828788340092,11.944642066955566
head_L20_H00@0,coreference,coreference,coref_004,head_mask:head:L20:H0:head_L20_H00,0.0,A,A,1,-58.028457998356316,-58.028457998356316,5.753864765167236
head_L20_H01@0,capitalization,capitalization,caps_002,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-53.52448255132185,-53.52448255132185,5.391158059821464
head_L20_H01@0,capitalization,capitalization,caps_003,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-55.89524528691254,-55.89524528691254,1.4304442405700684
head_L20_H01@0,induction,induction,induction_001,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-60.717182635631616,-60.717182635631616,4.7312703132629395
head_L20_H01@0,induction,induction,induction_002,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-55.16741831661784,-55.16741831661784,2.4186320304870605
head_L20_H01@0,induction,induction,induction_003,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-59.74359404991628,-59.74359404991628,3.9589672088623047
head_L20_H01@0,induction,induction,induction_004,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-53.6328760178003,-53.6328760178003,14.660905838012695
head_L20_H01@0,coreference,coreference,coref_002,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-52.858778837136924,-52.858778837136924,10.05679702758789
head_L20_H01@0,coreference,coreference,coref_003,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-48.405614925548434,-48.405614925548434,12.20169448852539
head_L20_H01@0,coreference,coreference,coref_004,head_mask:head:L20:H1:head_L20_H01,0.0,A,A,1,-57.683803761785384,-57.683803761785384,5.576153755187988
head_L20_H02@0,capitalization,capitalization,caps_002,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-53.322707000537775,-53.322707000537775,5.242643774545286
head_L20_H02@0,capitalization,capitalization,caps_003,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-55.00544866465498,-55.00544866465498,0.9888790845870972
head_L20_H02@0,induction,induction,induction_001,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-60.63897693024046,-60.63897693024046,4.754395365715027
head_L20_H02@0,induction,induction,induction_002,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-54.89058487312286,-54.89058487312286,2.4465794563293457
head_L20_H02@0,induction,induction,induction_003,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-59.59069490213005,-59.59069490213005,3.9013071060180664
head_L20_H02@0,induction,induction,induction_004,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-53.56374975593644,-53.56374975593644,14.836149215698242
head_L20_H02@0,coreference,coreference,coref_002,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-52.57069654017687,-52.57069654017687,10.249958038330078
head_L20_H02@0,coreference,coreference,coref_003,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-46.314259737730026,-46.314259737730026,12.271533966064453
head_L20_H02@0,coreference,coreference,coref_004,head_mask:head:L20:H2:head_L20_H02,0.0,A,A,1,-57.76362131489441,-57.76362131489441,5.753339767456055
head_L20_H03@0,capitalization,capitalization,caps_002,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-53.148314181074966,-53.148314181074966,5.325638264301233
head_L20_H03@0,capitalization,capitalization,caps_003,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-54.57713136385428,-54.57713136385428,1.0169146060943604
head_L20_H03@0,induction,induction,induction_001,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-60.322621344483196,-60.322621344483196,4.739077091217041
head_L20_H03@0,induction,induction,induction_002,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-54.56626959212008,-54.56626959212008,2.4077305793762207
head_L20_H03@0,induction,induction,induction_003,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-58.6904406525573,-58.6904406525573,4.012012481689453
head_L20_H03@0,induction,induction,induction_004,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-53.28461144276662,-53.28461144276662,14.845370292663574
head_L20_H03@0,coreference,coreference,coref_002,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-52.66810180991888,-52.66810180991888,10.043427467346191
head_L20_H03@0,coreference,coreference,coref_003,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-46.17091306345537,-46.17091306345537,12.2275071144104
head_L20_H03@0,coreference,coreference,coref_004,head_mask:head:L20:H3:head_L20_H03,0.0,A,A,1,-57.446788415079936,-57.446788415079936,5.617048263549805
head_L20_H04@0,capitalization,capitalization,caps_002,head_mask:head:L20:H4:head_L20_H04,0.0,A,A,1,-52.91269822479808,-52.91269822479808,5.752691129717277
head_L20_H04@0,capitalization,capitalization,caps_003,head_mask:head:L20:H4:head_L20_H04,0.0,A,A,1,-55.2322556705185,-55.2322556705185,1.0161949396133423
head_L20_H04@0,induction,induction,induction_001,head_mask:head:L20:H4:head_L20_H04,0.0,A,A,1,-60.458396553185594,-60.458396553185594,4.647598028182983
